"Employee #","Last Name","First Name","Date","Log In","Log Out"
"10001","Garcia","Manuel III","06/03/2024","8:59 AM","6:31 PM"
"10002","Lim","Antonio","06/03/2024","10:35 AM","7:44 PM"
"10003","Aquino","Bianca Sofia","06/03/2024","10:23 AM","6:32 PM"
"10004","Reyes","Isabella","06/03/2024","10:57 AM","6:14 PM"
"10005","Hernandez","Eduard","06/03/2024","9:48 AM","5:13 PM"
"10006","Villanueva","Andrea Mae","06/03/2024","9:31 AM","7:29 PM"
"10007","San Jose","Brad","06/03/2024","9:09 AM","4:30 PM"
"10008","Romualdez","Alice","06/03/2024","9:02 AM","6:06 PM"
"10009","Atienza","Rosie","06/03/2024","8:18 AM","5:40 PM"
"10010","Alvaro","Roderick","06/03/2024","8:10 AM","3:13 PM"
"10011","Salcedo","Anthony","06/03/2024","9:08 AM","7:36 PM"
"10012","Lopez","Josie","06/03/2024","9:47 AM","6:43 PM"
"10013","Farala","Martha","06/03/2024","9:48 AM","7:21 PM"
"10014","Martinez","Leila","06/03/2024","9:23 AM","6:09 PM"
"10015","Romualdez","Fredrick","06/03/2024","8:41 AM","7:27 PM"
"10016","Mata","Christian","06/03/2024","8:41 AM","4:45 PM"
"10017","De Leon","Selena","06/03/2024","9:40 AM","5:24 PM"
"10018","San Jose","Allison","06/03/2024","8:22 AM","4:46 PM"
"10019","Rosario","Cydney","06/03/2024","9:53 AM","5:24 PM"
"10020","Bautista","Mark","06/03/2024","8:47 AM","4:27 PM"
"10021","Lazaro","Darlene","06/03/2024","9:37 AM","6:45 PM"
"10022","Delos Santos","Kolby","06/03/2024","10:54 AM","8:10 PM"
"10023","Santos","Vella","06/03/2024","10:27 AM","8:10 PM"
"10024","Del Rosario","Tomas","06/03/2024","9:16 AM","5:57 PM"
"10025","Tolentino","Jacklyn","06/03/2024","10:18 AM","6:07 PM"
"10026","Gutierrez","Percival","06/03/2024","8:17 AM","6:31 PM"
"10027","Manalaysay","Garfield","06/03/2024","9:05 AM","7:14 PM"
"10028","Villegas","Lizeth","06/03/2024","8:52 AM","5:23 PM"
"10029","Ramos","Carol","06/03/2024","10:57 AM","9:44 PM"
"10030","Maceda","Emelia","06/03/2024","9:04 AM","4:39 PM"
"10031","Aguilar","Delia","06/03/2024","10:07 AM","8:51 PM"
"10032","Castro","John Rafael","06/03/2024","8:29 AM","4:46 PM"
"10033","Martinez","Carlos Ian","06/03/2024","10:02 AM","7:39 PM"
"10034","Santos","Beatriz","06/03/2024","10:05 AM","6:12 PM"
"10001","Garcia","Manuel III","06/04/2024","9:47 AM","7:07 PM"
"10002","Lim","Antonio","06/04/2024","10:11 AM","8:16 PM"
"10003","Aquino","Bianca Sofia","06/04/2024","10:45 AM","8:37 PM"
"10004","Reyes","Isabella","06/04/2024","9:45 AM","4:54 PM"
"10005","Hernandez","Eduard","06/04/2024","9:50 AM","8:20 PM"
"10006","Villanueva","Andrea Mae","06/04/2024","10:00 AM","8:12 PM"
"10007","San Jose","Brad","06/04/2024","9:16 AM","4:18 PM"
"10008","Romualdez","Alice","06/04/2024","9:36 AM","6:56 PM"
"10009","Atienza","Rosie","06/04/2024","10:41 AM","7:21 PM"
