"Employee ID","First Name","Last Name","Birthday","Position","Hourly Rate","Monthly Salary","SSS No","PhilHealth No","TIN","Pag-IBIG No"
"10099","Joe","Cruz","01/02/2000","Salesperson","600.0","30000.0","10000000","100000999","1991911","19191911"
"100001","Jessica","Cruz","01/01/2000","Manager","1500.0","50000.0","999999","000000","919191","919191911"
"1000100","Mike","Jordan","01/20/2000","Manager","1000.0","50000.0","123123123","321321321","111222333","333222111"
"32123123","Lebron ","James","01/01/2000","23312","2311.0","23131.0","23131","321312","12313","3123123"
"321312","asddad","asdadasd","01/01/2000","2313123","500.0","35000.0","2122","45454","121121","111212"
"2313123","qweqwe","eqweqe","07/07/2000","asdada","32131.0","23131.0","qqwqeq","56445","454554","454545"
"877878","adsasd","adsadad","07/08/2000","asdad","5.46544545E8","4545456.0","454545","asdada","4545","45455"
"312311","asdada","adsad","01/08/2000","adsadad","4555.0","4545645.0","454545","454545","4545","asdadada"
"31231231","asdads","adada","01/01/2000","3123123","54445.0","444.0","454545","454545","454545","45455"
"231","asdad","eqweq","01/02/2000","adasdad","3213.0","32131.0","2","2222","23123123","3123123"
"231312","adsad","adsada","01/02/2000","adsada","2311.0","32131.0","1234567891","123456789123","123456789","123456789123"
