"Username","Password","Role","FirstName","Last Name","EmployeeId"
"","","","Manuel III","Garcia","10001"
"antonio.lim","antonio123","Employee","Antonio","Lim","10002"
"isabella.reyes","isabella.123","Employee","Isabella","Reyes","10004"
"admin","adminpass","IT Admin","Eduard","Hernandez","10005"
"alice.romualdez","alice123","Employee","Alice","Romualdez","10008"
"hr.motorph","hrpass","HR","Andrea Mae","Villanueva","10006"
"manager.motorph","managerpass","Manager","Anthony","Salcedo","10011"
"","","","Bianca Sofia","Aquino","10003"
"","","","Brad","San Jose","10007"
"","","","Rosie","Atienza","10009"
"","","","Roderick","Alvaro","10010"
"","","","Josie","Lopez","10012"
"","","","Martha","Farala","10013"
"","","","Leila","Martinez","10014"
"","","","Fredrick","Romualdez","10015"
"","","","Christian","Mata","10016"
"","","","Selena","De Leon","10017"
"","","","Allison","San Jose","10018"
"","","","Cydney","Rosario","10019"
"","","","Mark","Bautista","10020"
"","","","Darlene","Lazaro","10021"
"","","","Kolby","Delos Santos","10022"
"","","","Vella","Santos","10023"
"","","","Tomas","Del Rosario","10024"
"","","","Jacklyn","Tolentino","10025"
"","","","Percival","Gutierrez","10026"
"","","","Garfield","Manalaysay","10027"
"","","","Lizeth","Villegas","10028"
"","","","Carol","Ramos","10029"
"","","","Emelia","Maceda","10030"
"","","","Delia","Aguilar","10031"
"","","","John Rafael","Castro","10032"
"","","","Carlos Ian","Martinez","10033"
"","","","Beatriz","Santos","10034"
"","","","Jessica","Santos","999991111"
